Framework,Category,Issue.ID
Pytorch,Inefficient AI algorithm implementation,31975
Pytorch,C/C++ abstraction,36900
TensorFlow,C/C++ abstraction,10644
TensorFlow,C/C++ abstraction,40758
Pytorch,Unnecessary computation (Unnecessarily gradient computation),41359
Pytorch,Unnecessary computation (Unnecessarily gradient computation),20146
Pytorch,Unnecessary computation (Unnecessarily gradient computation),7261
Pytorch,Unnecessary computation (Unnecessary node creation),42890 (2 bugs)
Pytorch,Unnecessary computation (Unnecessary operation),47313
Pytorch,Inefficiency for certain input data types,16158
Pytorch,Inefficiency for certain input data types,44206
Pytorch,Inefficiency for certain input data types,51206
TensorFlow,Inefficiency for certain input data types,41715
TensorFlow,Inefficiency for certain input data types,41934
TensorFlow,Inefficiency for certain input data types,39649
Pytorch,Other,1536
Pytorch,Other,2068
Pytorch,Other,18853
TensorFlow,Other,837
Pytorch,Other,18405
Pytorch,Other,28370
Pytorch,Other,33647
TensorFlow,Other,40517
Pytorch,Other,34964
TensorFlow,Other,14942
TensorFlow,Other,29506
Pytorch,Other,82
